Randomizer Version: 4.1.0
Random Seed: 240989149044460
Settings String: 314WQMBDgLuAfEB9AGSAAIeIQgBagYANABAAR8aEgAAAAAABAKIMgQywYsICTIGBgAyE1Bva2Vtb24gQmxhY2sgMiAoVSmlUnh848M4ig==

--Randomized Evolutions--
Bulbasaur       -> Lotad          
312 Minun         |TM01 Milk Drink |             - |TM03 Lick |TM04 Flare Blitz |TM05 Flame Wheel |TM06 Bubble |         - |TM08 Fury Swipes |               - |TM10 Luster Purge |              - |        - |TM13 Poison Tail |TM14 Miracle Eye |TM15 Icy Wind |            - |TM17 Teleport |           - |                - |                - |TM21 Psycho Shift |              - |                - |           - |             - |             - |TM27 Mach Punch |       - |TM29 Swords Dance |              - |TM31 Sketch |TM32 Crush Grip |TM33 Revenge |              - |TM35 Fusion Flare |           - |            - |TM38 Clamp |                - |TM40 Last Resort |TM41 Psystrike |TM42 Water Spout |               - |TM44 Metal Claw |              - |              - |TM47 Needle Arm |              - |TM49 Volt Tackle |TM50 Extrasensory |              - |           - |               - |              - |TM55 Razor Leaf |TM56 Wrap |TM57 Facade |                - |TM59 Spikes |TM60 Tail Glow |TM61 Mirror Move |TM62 Karate Chop |TM63 Sky Drop |TM64 ViceGrip |TM65 Echoed Voice |               - |TM67 Focus Energy |              - |              - |TM70 Flash |               - |TM72 Superpower |           - |TM74 Healing Wish |               - |         - |            - |TM78 Block |TM79 Overheat |         - |              - |        - |             - |           - |TM85 Bide |            - |        - |TM88 Muddy Water |                - |TM90 Tail Whip |TM91 Spark |             - |TM93 Rain Dance |                - |TM95 Natural Gift |       - |HM02 Fly |HM03 Surf |            - |HM05 Waterfall |        - |
313 Volbeat       |              - |             - |        - |TM04 Flare Blitz |TM05 Flame Wheel |          - |TM07 Spite |TM08 Fury Swipes |               - |                - |TM11 Blaze Kick |        - |               - |               - |TM15 Icy Wind |            - |TM17 Teleport |           - |                - |TM20 Sky Uppercut |                - |              - |                - |           - |             - |TM26 SonicBoom |TM27 Mach Punch |TM28 Dig |                - |              - |          - |              - |           - |TM34 Crush Claw |                - |           - |            - |         - |                - |               - |             - |TM42 Water Spout |               - |              - |              - |              - |TM47 Needle Arm |TM48 Heart Swap |               - |                - |              - |TM52 Spit Up |TM53 Focus Blast |              - |              - |        - |TM57 Facade |                - |TM59 Spikes |             - |               - |               - |            - |            - |                - |               - |TM67 Focus Energy |              - |              - |TM70 Flash |               - |              - |           - |                - |               - |         - |            - |         - |            - |TM80 Thief |              - |        - |TM83 Metronome |           - |TM85 Bide |            - |        - |               - |                - |             - |         - |             - |              - |                - |                - |       - |       - |        - |HM04 Strength |             - |        - |
314 Illumise      |              - |             - |        - |               - |TM05 Flame Wheel |TM06 Bubble |TM07 Spite |               - |TM09 Power Trick |TM10 Luster Purge |TM11 Blaze Kick |        - |               - |               - |TM15 Icy Wind |            - |TM17 Teleport |TM18 Thunder |                - |                - |TM21 Psycho Shift |              - |                - |           - |             - |             - |TM27 Mach Punch |       - |                - |              - |TM31 Sketch |              - |TM33 Revenge |              - |TM35 Fusion Flare |           - |            - |TM38 Clamp |TM39 Hidden Power |TM40 Last Resort |             - |TM42 Water Spout |               - |              - |TM45 Nasty Plot |              - |TM47 Needle Arm |              - |               - |                - |              - |           - |               - |              - |              - |TM56 Wrap |          - |                - |          - |             - |               - |               - |TM63 Sky Drop |            - |TM65 Echoed Voice |               - |                - |              - |              - |         - |               - |TM72 Superpower |           - |                - |TM75 Dragon Tail |         - |            - |         - |            - |         - |              - |        - |             - |TM84 Psychic |        - |TM86 Headbutt |TM87 Sing |               - |                - |TM90 Tail Whip |         - |TM92 Dual Chop |TM93 Rain Dance |                - |TM95 Natural Gift |       - |HM02 Fly |HM03 Surf |            - |             - |HM06 Dive |
315 Roselia       |              - |             - |        - |               - |TM05 Flame Wheel |TM06 Bubble |         - |               - |TM09 Power Trick |                - |              - |TM12 Howl |               - |               - |            - |            - |            - |           - |TM19 Hi Jump Kick |                - |                - |              - |                - |           - |             - |             - |TM27 Mach Punch |       - |                - |TM30 Mega Punch |          - |              - |           - |              - |TM35 Fusion Flare |           - |TM37 Meditate |         - |                - |TM40 Last Resort |             - |               - |TM43 Magnet Rise |TM44 Metal Claw |              - |TM46 Camouflage |              - |              - |               - |                - |TM51 Leech Life |TM52 Spit Up |               - |TM54 Fire Blast |              - |TM56 Wrap |          - |                - |          - |             - |               - |               - |            - |            - |                - |               - |                - |              - |              - |         - |               - |TM72 Superpower |           - |                - |               - |         - |TM77 Bug Bite |TM78 Block |TM79 Overheat |         - |              - |        - |             - |           - |        - |TM86 Headbutt |TM87 Sing |               - |                - |             - |         - |             - |              - |TM94 Ominous Wind |TM95 Natural Gift |HM01 Cut |       - |        - |HM04 Strength |             - |HM06 Dive |
316 Gulpin        |              - |TM02 Captivate |TM03 Lick |               - |               - |          - |         - |               - |               - |                - |TM11 Blaze Kick |        - |               - |               - |TM15 Icy Wind |TM16 Ice Beam |            - |           - |                - |                - |                - |              - |                - |           - |TM25 Wring Out |             - |              - |       - |                - |TM30 Mega Punch |          - |              - |           - |              - |                - |           - |            - |TM38 Clamp |                - |               - |             - |               - |               - |              - |              - |TM46 Camouflage |TM47 Needle Arm |TM48 Heart Swap |TM49 Volt Tackle |                - |              - |TM52 Spit Up |TM53 Focus Blast |TM54 Fire Blast |TM55 Razor Leaf |        - |TM57 Facade |                - |TM59 Spikes |             - |               - |TM62 Karate Chop |TM63 Sky Drop |            - |                - |               - |                - |TM68 Heavy Slam |              - |         - |               - |TM72 Superpower |           - |                - |TM75 Dragon Tail |TM76 Stomp |TM77 Bug Bite |         - |            - |TM80 Thief |TM81 Scary Face |        - |             - |           - |TM85 Bide |TM86 Headbutt |        - |               - |TM89 Rolling Kick |             - |         - |TM92 Dual Chop |              - |                - |                - |HM01 Cut |HM02 Fly |HM03 Surf |            - |HM05 Waterfall |HM06 Dive |
317 Swalot        |              - |TM02 Captivate |TM03 Lick |               - |               - |          - |         - |               - |               - |                - |TM11 Blaze Kick |        - |               - |               - |TM15 Icy Wind |TM16 Ice Beam |TM17 Teleport |           - |TM19 Hi Jump Kick |                - |TM21 Psycho Shift |              - |                - |           - |TM25 Wring Out |             - |              - |       - |TM29 Swords Dance |TM30 Mega Punch |          - |              - |           - |              - |                - |           - |            - |TM38 Clamp |                - |               - |             - |               - |               - |TM44 Metal Claw |              - |TM46 Camouflage |TM47 Needle Arm |TM48 Heart Swap |TM49 Volt Tackle |                - |              - |TM52 Spit Up |TM53 Focus Blast |TM54 Fire Blast |TM55 Razor Leaf |        - |TM57 Facade |                - |TM59 Spikes |             - |               - |TM62 Karate Chop |TM63 Sky Drop |            - |                - |TM66 Heart Stamp |                - |TM68 Heavy Slam |TM69 Spider Web |         - |               - |TM72 Superpower |           - |                - |TM75 Dragon Tail |TM76 Stomp |TM77 Bug Bite |TM78 Block |            - |TM80 Thief |TM81 Scary Face |        - |TM83 Metronome |           - |TM85 Bide |TM86 Headbutt |TM87 Sing |               - |TM89 Rolling Kick |             - |         - |TM92 Dual Chop |              - |                - |                - |HM01 Cut |HM02 Fly |HM03 Surf |            - |HM05 Waterfall |HM06 Dive |
318 Carvanha      |TM01 Milk Drink |TM02 Captivate |TM03 Lick |               - |TM05 Flame Wheel |          - |TM07 Spite |TM08 Fury Swipes |TM09 Power Trick |TM10 Luster Purge |              - |        - |               - |               - |TM15 Icy Wind |TM16 Ice Beam |            - |TM18 Thunder |                - |                - |TM21 Psycho Shift |TM22 Sky Attack |                - |           - |             - |             - |TM27 Mach Punch |TM28 Dig |                - |              - |TM31 Sketch |TM32 Crush Grip |           - |              - |TM35 Fusion Flare |TM36 Recover |            - |TM38 Clamp |                - |TM40 Last Resort |TM41 Psystrike |               - |TM43 Magnet Rise |              - |              - |              - |TM47 Needle Arm |              - |               - |TM50 Extrasensory |TM51 Leech Life |TM52 Spit Up |               - |              - |              - |TM56 Wrap |          - |                - |          - |TM60 Tail Glow |               - |               - |            - |            - |TM65 Echoed Voice |TM66 Heart Stamp |                - |              - |TM69 Spider Web |         - |TM71 Aurora Beam |              - |TM73 Kinesis |TM74 Healing Wish |               - |         - |TM77 Bug Bite |TM78 Block |            - |TM80 Thief |              - |        - |             - |TM84 Psychic |        - |TM86 Headbutt |        - |               - |                - |TM90 Tail Whip |         - |TM92 Dual Chop |TM93 Rain Dance |                - |TM95 Natural Gift |HM01 Cut |       - |HM03 Surf |            - |HM05 Waterfall |        - |
319 Sharpedo      |              - |             - |        - |               - |               - |          - |         - |TM08 Fury Swipes |               - |                - |              - |        - |               - |               - |TM15 Icy Wind |            - |TM17 Teleport |           - |                - |                - |TM21 Psycho Shift |TM22 Sky Attack |TM23 Frenzy Plant |TM24 Pursuit |             - |             - |TM27 Mach Punch |       - |                - |TM30 Mega Punch |TM31 Sketch |              - |           - |TM34 Crush Claw |                - |           - |            - |TM38 Clamp |                - |TM40 Last Resort |TM41 Psystrike |               - |               - |              - |              - |TM46 Camouflage |              - |TM48 Heart Swap |               - |                - |              - |           - |               - |              - |              - |        - |          - |                - |          - |TM60 Tail Glow |TM61 Mirror Move |TM62 Karate Chop |            - |            - |TM65 Echoed Voice |TM66 Heart Stamp |TM67 Focus Energy |TM68 Heavy Slam |              - |         - |TM71 Aurora Beam |TM72 Superpower |           - |TM74 Healing Wish |               - |         - |            - |TM78 Block |TM79 Overheat |TM80 Thief |              - |TM82 Haze |             - |           - |        - |TM86 Headbutt |        - |               - |                - |TM90 Tail Whip |TM91 Spark |             - |TM93 Rain Dance |                - |TM95 Natural Gift |HM01 Cut |HM02 Fly |HM03 Surf |            - |HM05 Waterfall |        - |
320 Wailmer       |              - |             - |        - |               - |               - |          - |         - |TM08 Fury Swipes |               - |                - |              - |        - |               - |               - |            - |TM16 Ice Beam |            - |           - |                - |                - |                - |              - |                - |TM24 Pursuit |             - |TM26 SonicBoom |              - |       - |                - |              - |          - |TM32 Crush Grip |           - |TM34 Crush Claw |                - |           - |            - |         - |                - |               - |             - |TM42 Water Spout |TM43 Magnet Rise |              - |TM45 Nasty Plot |              - |TM47 Needle Arm |TM48 Heart Swap |               - |                - |              - |           - |               - |              - |              - |        - |          - |                - |TM59 Spikes |TM60 Tail Glow |               - |               - |            - |            - |                - |               - |                - |TM68 Heavy Slam |TM69 Spider Web |TM70 Flash |               - |              - |           - |                - |               - |         - |            - |         - |            - |         - |              - |        - |             - |           - |TM85 Bide |            - |        - |TM88 Muddy Water |TM89 Rolling Kick |             - |         - |             - |              - |                - |                - |       - |       - |        - |HM04 Strength |             - |        - |
321 Wailord       |TM01 Milk Drink |TM02 Captivate |        - |               - |TM05 Flame Wheel |          - |TM07 Spite |TM08 Fury Swipes |               - |                - |TM11 Blaze Kick |        - |               - |TM14 Miracle Eye |            - |            - |TM17 Teleport |           - |                - |TM20 Sky Uppercut |                - |              - |                - |           - |TM25 Wring Out |             - |              - |       - |TM29 Swords Dance |              - |          - |              - |TM33 Revenge |              - |                - |           - |            - |         - |                - |TM40 Last Resort |             - |               - |               - |              - |TM45 Nasty Plot |              - |TM47 Needle Arm |TM48 Heart Swap |               - |TM50 Extrasensory |TM51 Leech Life |           - |               - |              - |              - |TM56 Wrap |          - |                - |TM59 Spikes |TM60 Tail Glow |               - |TM62 Karate Chop |            - |            - |                - |TM66 Heart Stamp |                - |              - |              - |         - |               - |              - |           - |                - |               - |         - |            - |         - |TM79 Overheat |         - |TM81 Scary Face |        - |             - |           - |TM85 Bide |            - |        - |               - |                - |TM90 Tail Whip |TM91 Spark |             - |TM93 Rain Dance |                - |                - |       - |HM02 Fly |        - |HM04 Strength |HM05 Waterfall |        - |
322 Numel         |              - |TM02 Captivate |        - |               - |               - |          - |         - |TM08 Fury Swipes |               - |TM10 Luster Purge |              - |TM12 Howl |               - |               - |            - |            - |            - |TM18 Thunder |TM19 Hi Jump Kick |TM20 Sky Uppercut |                - |              - |                - |           - |             - |TM26 SonicBoom |TM27 Mach Punch |       - |                - |TM30 Mega Punch |          - |              - |           - |TM34 Crush Claw |TM35 Fusion Flare |TM36 Recover |            - |         - |                - |               - |TM41 Psystrike |TM42 Water Spout |TM43 Magnet Rise |              - |              - |              - |              - |              - |TM49 Volt Tackle |                - |TM51 Leech Life |           - |TM53 Focus Blast |TM54 Fire Blast |              - |TM56 Wrap |          - |                - |          - |TM60 Tail Glow |               - |               - |            - |TM64 ViceGrip |                - |               - |                - |              - |              - |         - |TM71 Aurora Beam |              - |TM73 Kinesis |                - |               - |         - |TM77 Bug Bite |         - |            - |         - |              - |TM82 Haze |             - |           - |TM85 Bide |TM86 Headbutt |TM87 Sing |TM88 Muddy Water |                - |             - |         - |             - |              - |TM94 Ominous Wind |TM95 Natural Gift |HM01 Cut |       - |        - |HM04 Strength |HM05 Waterfall |HM06 Dive |
323 Camerupt      |TM01 Milk Drink |TM02 Captivate |        - |               - |TM05 Flame Wheel |TM06 Bubble |         - |TM08 Fury Swipes |               - |                - |              - |TM12 Howl |               - |               - |TM15 Icy Wind |            - |            - |TM18 Thunder |                - |TM20 Sky Uppercut |TM21 Psycho Shift |TM22 Sky Attack |TM23 Frenzy Plant |           - |TM25 Wring Out |TM26 SonicBoom |TM27 Mach Punch |       - |                - |TM30 Mega Punch |          - |TM32 Crush Grip |TM33 Revenge |TM34 Crush Claw |TM35 Fusion Flare |TM36 Recover |TM37 Meditate |         - |                - |               - |             - |TM42 Water Spout |TM43 Magnet Rise |              - |TM45 Nasty Plot |              - |              - |TM48 Heart Swap |               - |                - |              - |TM52 Spit Up |TM53 Focus Blast |TM54 Fire Blast |              - |TM56 Wrap |TM57 Facade |TM58 Faint Attack |          - |             - |TM61 Mirror Move |TM62 Karate Chop |            - |TM64 ViceGrip |                - |               - |                - |              - |              - |         - |TM71 Aurora Beam |TM72 Superpower |TM73 Kinesis |TM74 Healing Wish |               - |         - |TM77 Bug Bite |TM78 Block |            - |TM80 Thief |              - |TM82 Haze |TM83 Metronome |           - |TM85 Bide |TM86 Headbutt |        - |TM88 Muddy Water |                - |TM90 Tail Whip |         - |             - |TM93 Rain Dance |TM94 Ominous Wind |                - |       - |HM02 Fly |        - |HM04 Strength |HM05 Waterfall |        - |
324 Torkoal       |TM01 Milk Drink |             - |TM03 Lick |TM04 Flare Blitz |               - |          - |         - |               - |               - |                - |              - |        - |TM13 Poison Tail |               - |            - |            - |            - |TM18 Thunder |TM19 Hi Jump Kick |                - |TM21 Psycho Shift |TM22 Sky Attack |TM23 Frenzy Plant |           - |TM25 Wring Out |TM26 SonicBoom |              - |       - |                - |              - |TM31 Sketch |              - |           - |              - |                - |           - |            - |         - |                - |               - |             - |               - |               - |              - |              - |              - |              - |              - |TM49 Volt Tackle |TM50 Extrasensory |TM51 Leech Life |TM52 Spit Up |TM53 Focus Blast |              - |              - |        - |          - |                - |TM59 Spikes |             - |               - |               - |            - |TM64 ViceGrip |                - |TM66 Heart Stamp |TM67 Focus Energy |              - |              - |         - |TM71 Aurora Beam |              - |           - |                - |TM75 Dragon Tail |         - |TM77 Bug Bite |         - |            - |         - |              - |TM82 Haze |             - |           - |TM85 Bide |TM86 Headbutt |TM87 Sing |TM88 Muddy Water |                - |             - |         - |             - |              - |                - |TM95 Natural Gift |       - |       - |HM03 Surf |            - |             - |        - |
325 Spoink        |TM01 Milk Drink |             - |        - |               - |               - |          - |         - |TM08 Fury Swipes |               - |                - |              - |        - |TM13 Poison Tail |               - |TM15 Icy Wind |            - |            - |           - |                - |TM20 Sky Uppercut |                - |              - |                - |TM24 Pursuit |             - |             - |              - |       - |TM29 Swords Dance |              - |TM31 Sketch |TM32 Crush Grip |           - |              - |                - |           - |            - |TM38 Clamp |                - |               - |TM41 Psystrike |               - |TM43 Magnet Rise |              - |              - |              - |              - |TM48 Heart Swap |TM49 Volt Tackle |                - |              - |           - |TM53 Focus Blast |TM54 Fire Blast |              - |        - |TM57 Facade |                - |          - |             - |               - |               - |            - |            - |                - |               - |                - |TM68 Heavy Slam |              - |         - |               - |TM72 Superpower |TM73 Kinesis |TM74 Healing Wish |               - |         - |            - |         - |            - |TM80 Thief |              - |        - |             - |TM84 Psychic |        - |            - |TM87 Sing |TM88 Muddy Water |TM89 Rolling Kick |             - |         - |             - |TM93 Rain Dance |TM94 Ominous Wind |                - |       - |       - |        - |            - |HM05 Waterfall |        - |
326 Grumpig       |TM01 Milk Drink |             - |        - |               - |               - |          - |TM07 Spite |               - |               - |                - |              - |        - |               - |               - |TM15 Icy Wind |            - |            - |           - |TM19 Hi Jump Kick |TM20 Sky Uppercut |                - |              - |                - |TM24 Pursuit |             - |             - |              - |TM28 Dig |TM29 Swords Dance |              - |TM31 Sketch |TM32 Crush Grip |TM33 Revenge |              - |                - |TM36 Recover |TM37 Meditate |         - |TM39 Hidden Power |TM40 Last Resort |TM41 Psystrike |               - |TM43 Magnet Rise |              - |              - |              - |TM47 Needle Arm |              - |TM49 Volt Tackle |                - |              - |TM52 Spit Up |               - |TM54 Fire Blast |              - |        - |TM57 Facade |                - |TM59 Spikes |             - |TM61 Mirror Move |TM62 Karate Chop |            - |TM64 ViceGrip |TM65 Echoed Voice |TM66 Heart Stamp |                - |              - |TM69 Spider Web |TM70 Flash |TM71 Aurora Beam |              - |           - |                - |               - |         - |            - |         - |            - |         - |TM81 Scary Face |TM82 Haze |TM83 Metronome |TM84 Psychic |TM85 Bide |TM86 Headbutt |TM87 Sing |TM88 Muddy Water |                - |TM90 Tail Whip |TM91 Spark |TM92 Dual Chop |TM93 Rain Dance |                - |                - |       - |       - |        - |HM04 Strength |HM05 Waterfall |        - |
327 Spinda        |TM01 Milk Drink |             - |TM03 Lick |               - |               - |TM06 Bubble |         - |TM08 Fury Swipes |TM09 Power Trick |TM10 Luster Purge |TM11 Blaze Kick |        - |TM13 Poison Tail |               - |            - |            - |TM17 Teleport |TM18 Thunder |                - |                - |                - |              - |TM23 Frenzy Plant |TM24 Pursuit |TM25 Wring Out |             - |TM27 Mach Punch |       - |                - |TM30 Mega Punch |TM31 Sketch |TM32 Crush Grip |TM33 Revenge |              - |                - |           - |TM37 Meditate |         - |                - |               - |             - |               - |TM43 Magnet Rise |TM44 Metal Claw |TM45 Nasty Plot |TM46 Camouflage |              - |              - |               - |                - |              - |           - |TM53 Focus Blast |TM54 Fire Blast |              - |TM56 Wrap |TM57 Facade |                - |          - |             - |TM61 Mirror Move |TM62 Karate Chop |            - |            - |                - |               - |TM67 Focus Energy |TM68 Heavy Slam |TM69 Spider Web |TM70 Flash |               - |              - |           - |                - |TM75 Dragon Tail |         - |            - |         - |            - |TM80 Thief |              - |        - |             - |           - |TM85 Bide |            - |        - |TM88 Muddy Water |                - |             - |TM91 Spark |             - |TM93 Rain Dance |                - |                - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |             - |        - |
328 Trapinch      |              - |TM02 Captivate |        - |TM04 Flare Blitz |               - |          - |TM07 Spite |               - |               - |                - |TM11 Blaze Kick |        - |               - |               - |            - |            - |TM17 Teleport |           - |                - |                - |                - |TM22 Sky Attack |                - |           - |             - |             - |TM27 Mach Punch |TM28 Dig |                - |              - |          - |              - |TM33 Revenge |TM34 Crush Claw |                - |           - |            - |TM38 Clamp |TM39 Hidden Power |TM40 Last Resort |             - |               - |TM43 Magnet Rise |              - |              - |              - |              - |              - |               - |                - |              - |           - |TM53 Focus Blast |              - |              - |        - |          - |                - |          - |TM60 Tail Glow |               - |               - |TM63 Sky Drop |TM64 ViceGrip |                - |TM66 Heart Stamp |TM67 Focus Energy |TM68 Heavy Slam |TM69 Spider Web |         - |               - |              - |           - |TM74 Healing Wish |TM75 Dragon Tail |         - |TM77 Bug Bite |         - |            - |         - |TM81 Scary Face |TM82 Haze |TM83 Metronome |TM84 Psychic |        - |TM86 Headbutt |        - |               - |TM89 Rolling Kick |             - |         - |             - |              - |TM94 Ominous Wind |                - |       - |HM02 Fly |        - |            - |             - |        - |
329 Vibrava       |              - |TM02 Captivate |TM03 Lick |               - |TM05 Flame Wheel |          - |TM07 Spite |               - |TM09 Power Trick |                - |TM11 Blaze Kick |TM12 Howl |               - |               - |TM15 Icy Wind |TM16 Ice Beam |TM17 Teleport |           - |TM19 Hi Jump Kick |                - |TM21 Psycho Shift |TM22 Sky Attack |TM23 Frenzy Plant |           - |             - |TM26 SonicBoom |TM27 Mach Punch |TM28 Dig |                - |TM30 Mega Punch |          - |TM32 Crush Grip |TM33 Revenge |TM34 Crush Claw |                - |TM36 Recover |            - |         - |TM39 Hidden Power |TM40 Last Resort |             - |               - |TM43 Magnet Rise |TM44 Metal Claw |              - |              - |              - |              - |TM49 Volt Tackle |                - |              - |TM52 Spit Up |               - |              - |TM55 Razor Leaf |        - |          - |                - |          - |             - |               - |TM62 Karate Chop |            - |            - |                - |TM66 Heart Stamp |TM67 Focus Energy |TM68 Heavy Slam |TM69 Spider Web |         - |               - |              - |TM73 Kinesis |                - |               - |         - |TM77 Bug Bite |         - |            - |TM80 Thief |TM81 Scary Face |TM82 Haze |TM83 Metronome |TM84 Psychic |TM85 Bide |            - |        - |TM88 Muddy Water |TM89 Rolling Kick |             - |         - |             - |TM93 Rain Dance |TM94 Ominous Wind |                - |HM01 Cut |       - |        - |HM04 Strength |             - |HM06 Dive |
330 Flygon        |              - |TM02 Captivate |        - |TM04 Flare Blitz |TM05 Flame Wheel |          - |TM07 Spite |               - |TM09 Power Trick |                - |TM11 Blaze Kick |TM12 Howl |TM13 Poison Tail |               - |TM15 Icy Wind |TM16 Ice Beam |TM17 Teleport |           - |                - |TM20 Sky Uppercut |TM21 Psycho Shift |              - |TM23 Frenzy Plant |TM24 Pursuit |             - |             - |              - |TM28 Dig |                - |TM30 Mega Punch |          - |              - |TM33 Revenge |              - |                - |           - |TM37 Meditate |TM38 Clamp |TM39 Hidden Power |TM40 Last Resort |TM41 Psystrike |TM42 Water Spout |               - |              - |              - |              - |              - |              - |TM49 Volt Tackle |                - |TM51 Leech Life |           - |TM53 Focus Blast |              - |TM55 Razor Leaf |        - |TM57 Facade |TM58 Faint Attack |          - |             - |               - |TM62 Karate Chop |TM63 Sky Drop |            - |TM65 Echoed Voice |               - |                - |              - |TM69 Spider Web |         - |TM71 Aurora Beam |TM72 Superpower |           - |                - |TM75 Dragon Tail |         - |TM77 Bug Bite |TM78 Block |TM79 Overheat |TM80 Thief |TM81 Scary Face |        - |             - |TM84 Psychic |TM85 Bide |            - |TM87 Sing |               - |TM89 Rolling Kick |TM90 Tail Whip |TM91 Spark |             - |TM93 Rain Dance |                - |TM95 Natural Gift |HM01 Cut |HM02 Fly |        - |            - |HM05 Waterfall |        - |
331 Cacnea        |              - |             - |        - |               - |TM05 Flame Wheel |          - |TM07 Spite |TM08 Fury Swipes |               - |                - |              - |TM12 Howl |               - |               - |            - |            - |            - |           - |                - |TM20 Sky Uppercut |                - |              - |                - |TM24 Pursuit |             - |TM26 SonicBoom |              - |TM28 Dig |                - |              - |TM31 Sketch |              - |           - |              - |TM35 Fusion Flare |TM36 Recover |            - |         - |                - |TM40 Last Resort |             - |               - |               - |              - |              - |              - |TM47 Needle Arm |              - |               - |                - |TM51 Leech Life |TM52 Spit Up |               - |              - |TM55 Razor Leaf |TM56 Wrap |          - |                - |          - |TM60 Tail Glow |               - |               - |            - |            - |                - |               - |                - |              - |              - |         - |               - |              - |           - |                - |TM75 Dragon Tail |         - |            - |         - |            - |TM80 Thief |              - |        - |             - |TM84 Psychic |        - |            - |TM87 Sing |               - |TM89 Rolling Kick |             - |TM91 Spark |             - |              - |                - |                - |       - |HM02 Fly |        - |            - |             - |        - |
332 Cacturne      |              - |TM02 Captivate |TM03 Lick |TM04 Flare Blitz |TM05 Flame Wheel |          - |TM07 Spite |TM08 Fury Swipes |               - |                - |              - |TM12 Howl |TM13 Poison Tail |               - |            - |            - |TM17 Teleport |TM18 Thunder |                - |TM20 Sky Uppercut |TM21 Psycho Shift |              - |                - |TM24 Pursuit |             - |             - |TM27 Mach Punch |TM28 Dig |                - |              - |          - |              - |           - |              - |                - |           - |TM37 Meditate |         - |TM39 Hidden Power |TM40 Last Resort |             - |TM42 Water Spout |               - |TM44 Metal Claw |TM45 Nasty Plot |              - |TM47 Needle Arm |              - |               - |                - |              - |TM52 Spit Up |TM53 Focus Blast |              - |TM55 Razor Leaf |        - |          - |                - |TM59 Spikes |TM60 Tail Glow |TM61 Mirror Move |               - |            - |            - |                - |TM66 Heart Stamp |TM67 Focus Energy |              - |              - |         - |               - |TM72 Superpower |           - |                - |               - |         - |            - |         - |            - |TM80 Thief |              - |TM82 Haze |             - |TM84 Psychic |TM85 Bide |TM86 Headbutt |        - |               - |                - |             - |         - |TM92 Dual Chop |TM93 Rain Dance |                - |                - |       - |       - |        - |            - |HM05 Waterfall |        - |
333 Swablu        |              - |             - |TM03 Lick |               - |TM05 Flame Wheel |          - |         - |TM08 Fury Swipes |TM09 Power Trick |                - |              - |        - |               - |               - |            - |            - |            - |TM18 Thunder |TM19 Hi Jump Kick |                - |                - |              - |TM23 Frenzy Plant |           - |             - |             - |              - |TM28 Dig |                - |              - |          - |              - |           - |              - |TM35 Fusion Flare |           - |            - |         - |TM39 Hidden Power |               - |             - |               - |               - |              - |              - |TM46 Camouflage |TM47 Needle Arm |TM48 Heart Swap |TM49 Volt Tackle |                - |TM51 Leech Life |           - |TM53 Focus Blast |              - |              - |TM56 Wrap |          - |                - |TM59 Spikes |TM60 Tail Glow |               - |               - |TM63 Sky Drop |TM64 ViceGrip |TM65 Echoed Voice |               - |TM67 Focus Energy |              - |              - |         - |               - |              - |           - |                - |               - |         - |            - |TM78 Block |            - |TM80 Thief |              - |TM82 Haze |TM83 Metronome |           - |        - |TM86 Headbutt |        - |               - |                - |TM90 Tail Whip |         - |             - |TM93 Rain Dance |                - |                - |HM01 Cut |       - |        - |            - |             - |        - |
334 Altaria       |              - |TM02 Captivate |TM03 Lick |               - |TM05 Flame Wheel |          - |TM07 Spite |TM08 Fury Swipes |TM09 Power Trick |                - |              - |        - |               - |               - |            - |            - |            - |           - |TM19 Hi Jump Kick |TM20 Sky Uppercut |TM21 Psycho Shift |TM22 Sky Attack |TM23 Frenzy Plant |           - |TM25 Wring Out |TM26 SonicBoom |              - |TM28 Dig |                - |              - |          - |              - |TM33 Revenge |              - |                - |TM36 Recover |TM37 Meditate |         - |TM39 Hidden Power |               - |             - |               - |TM43 Magnet Rise |              - |              - |TM46 Camouflage |TM47 Needle Arm |TM48 Heart Swap |TM49 Volt Tackle |                - |TM51 Leech Life |           - |               - |              - |TM55 Razor Leaf |TM56 Wrap |          - |                - |TM59 Spikes |TM60 Tail Glow |               - |               - |TM63 Sky Drop |            - |TM65 Echoed Voice |TM66 Heart Stamp |                - |              - |TM69 Spider Web |TM70 Flash |               - |              - |           - |TM74 Healing Wish |TM75 Dragon Tail |TM76 Stomp |            - |         - |            - |TM80 Thief |TM81 Scary Face |TM82 Haze |             - |TM84 Psychic |        - |TM86 Headbutt |TM87 Sing |               - |                - |             - |TM91 Spark |TM92 Dual Chop |TM93 Rain Dance |                - |TM95 Natural Gift |HM01 Cut |HM02 Fly |HM03 Surf |            - |             - |        - |
